Company,Country,Director,Genre,Title,Runtime,Writer,Year
Joseph S. Vecchio Entertainment,USA,John Landis,Comedy,Oscar,109,Claude Magnier,1991
Touchstone Pictures,USA,John R. Cherry III,Comedy,ErnestScaredStupid,91,John R. Cherry III,1991
Universal Pictures,USA,Phil Nibbelink,Animation,AnAmericanTailFievelGoesWest,75,Flint Dille,1991
TriStar Pictures,USA,Barry Levinson,Biography,Bugsy,136,James Toback,1991
Columbia Pictures Corporation,USA,Barbra Streisand,Drama,ThePrinceofTides,132,Pat Conroy,1991
Paramount Pictures,USA,David Zucker,Comedy,TheNakedGun2TheSmellofFear,85,Jim Abrahams,1991
Arnold Kopelson Productions,USA,John Flynn,Action,OutforJustice,91,R. Lance Hill,1991
Twentieth Century Fox Film Corporation,USA,Robert Townsend,Drama,TheFiveHeartbeats,121,Robert Townsend,1991
Universal Pictures,USA,Spike Lee,Drama,JungleFever,132,Spike Lee,1991
Alive Films,USA,David Kellogg,Comedy,CoolasIce,91,David Stenn,1991
Touchstone Pictures,USA,Damian Harris,Thriller,Deceived,104,Mary Agnes Donoghue,1991
Paramount Pictures,USA,Mike Nichols,Drama,RegardingHenry,108,J.J. Abrams,1991
Little Tokyo Productions,USA,Mark L. Lester,Action,ShowdowninLittleTokyo,79,Stephen Glantz,1991
Sid�ral Productions,France,Krzysztof Kieslowski,Drama,TheDoubleLifeofVeronique,98,Krzysztof Kieslowski,1991
Metro-Goldwyn-Mayer (MGM),USA,Lili Fini Zanuck,Action,Rush,120,Kim Wozencraft,1991
Paramount Pictures,USA,Kenneth Branagh,Crime,DeadAgain,107,Scott Frank,1991
Detour Filmproduction,USA,Richard Linklater,Comedy,Slacker,97,Richard Linklater,1991
Davis-Panzer Productions,UK,Russell Mulcahy,Action,HighlanderIITheQuickening,91,Gregory Widen,1991
Geffen Pictures,USA,Albert Brooks,Comedy,DefendingYourLife,112,Albert Brooks,1991
Warner Bros.,USA,Michael Caton-Jones,Comedy,DocHollywood,104,Neil B. Shulman,1991
Hughes Entertainment,USA,John Hughes,Comedy,CurlySue,101,John Hughes,1991
Goldcrest Films International,Ireland,Don Bluth,Animation,Amigosinseparables,100,Don Bluth,1991
Krisjair,USA,Simon Wincer,Action,HarleyDavidsonandtheMarlboroMan,98,Don Michael Paul,1991
Walt Disney Pictures,USA,Randal Kleiser,Adventure,WhiteFang,107,Jack London,1991
Fogwood Films,USA,Joel Schumacher,Drama,DyingYoung,111,Marti Leimbach,1991
Warner Bros.,USA,William Dear,Action,IfLooksCouldKill,88,Fred Dekker,1991
Universal Pictures,USA,Michael Karbelnikoff,Crime,Mobsters,104,Michael Mahern,1991
Carnival Film & Television,UK,Simon Moore,Crime,UnderSuspicion,99,Simon Moore,1991
Home Box Office (HBO),USA,Russell Mulcahy,Action,Ricochet,102,Fred Dekker,1991
Path� Entertainment,USA,Brian Gilbert,Drama,NotWithoutMyDaughter,116,Betty Mahmoody,1991
Stone Group Pictures,USA,Craig R. Baxley,Action,StoneCold,88,Walter Doniger,1991
Carolco Pictures,USA,Mick Jackson,Comedy,LAStory,95,Steve Martin,1991
Walt Disney Pictures,USA,Steve Miner,Drama,WildHeartsCantBeBroken,88,Matt Williams,1991
Cheap Date,USA,Ken Russell,Drama,Whore,85,David Hines,1991
Beco Films,USA,Blake Edwards,Comedy,Switch,103,Blake Edwards,1991
Kennedy Miller Productions,Australia,John Duigan,Drama,Flirting,99,John Duigan,1991
Nippon Television Network (NTV),Japan,Isao Takahata,Animation,OnlyYesterday,118,Hotaru Okamoto,1991
New Line Cinema,USA,Burt Kennedy,Action,SuburbanCommando,90,Frank A. Cappello,1991
TriStar Pictures,USA,Maurice Phillips,Comedy,AnotherYou,100,Ziggy Steinberg,1991
Orion Pictures,USA,Jodie Foster,Drama,LittleManTate,99,Scott Frank,1991
Film Four International,UK,Stephen Poliakoff,Drama,CloseMyEyes,108,Stephen Poliakoff,1991
Universal Pictures,USA,David S. Ward,Comedy,KingRalph,97,Emlyn Williams,1991
Argos Films,Germany,Wim Wenders,Action,UntiltheEndoftheWorld,280,Peter Carey,1991
IRS Media,USA,Bobcat Goldthwait,Comedy,ShakestheClown,87,Bobcat Goldthwait,1991
Movie Partners,USA,Mark Herrier,Comedy,Popcorn,91,Mitchell Smith,1991
Columbia Pictures Corporation,USA,Alan Rudolph,Mystery,MortalThoughts,102,William Reilly,1991
Universal Pictures,USA,John Badham,Action,TheHardWay,111,Lem Dobbs,1991
Pierre Grise Productions,France,Jacques Rivette,Drama,Labellalatosa,238,Pascal Bonitzer,1991
Black River Productions,UK,Mira Nair,Drama,MississippiMasala,118,Sooni Taraporevala,1991
Not specified,USA,Nancy Savoca,Comedy,Dogfight,94,Bob Comfort,1991
ERA International,China,Yimou Zhang,Drama,RaisetheRedLantern,125,Su Tong,1991
Vista Street Entertainment,USA,Eric Red,Horror,BodyParts,88,Pierre Boileau,1991
Capella International,USA,Wolfgang Petersen,Crime,Shattered,98,Richard Neely,1991
Alic�l�o,Spain,Lars von Trier,Drama,Europa,112,Lars von Trier,1991
Brooksfilms,USA,Mel Brooks,Comedy,LifeStinks,92,Mel Brooks,1991
Metro-Goldwyn-Mayer (MGM),USA,Tom Mankiewicz,Comedy,Delirious,96,Lawrence J. Cohen,1991
Columbia Pictures Corporation,USA,Sean Penn,Drama,TheIndianRunner,127,Sean Penn,1991
Baltimore Pictures,France,Steven Soderbergh,Drama,Kafka,98,Lem Dobbs,1991
Paramount Pictures,USA,Michael Hoffman,Comedy,Soapdish,97,Robert Harling,1991
Touchstone Pictures,USA,Randa Haines,Drama,TheDoctor,122,Ed Rosenbaum,1991
Alliance Communications Corporation,Canada,Bruce Beresford,Adventure,BlackRobe,101,Brian Moore,1991
Twentieth Century Fox Film Corporation,USA,Peter Faiman,Comedy,Dutch,107,John Hughes,1991
Touchstone Pictures,USA,Robert Benton,Crime,BillyBathgate,106,E.L. Doctorow,1991
Canal+,Spain,Pedro Almod�var,Comedy,HighHeels,112,Pedro Almod�var,1991
Paramount Pictures,USA,Ken Kwapis,Comedy,HeSaidSheSaid,,115,Brian Hohlfeld,1991
Cinetel Films,USA,Marc Rocco,Crime,WheretheDayTakesYou,105,Michael Hitchcock,1991
Palace Pictures,UK,Bill Duke,Comedy,ARageinHarlem,100,Chester Himes,1991
Twentieth Century Fox Film Corporation,USA,Chris Columbus,Comedy,OnlytheLonely,104,Chris Columbus,1991
Carolco Pictures,USA,Martha Coolidge,Drama,RamblingRose,112,Calder Willingham,1991
Twentieth Century Fox Film Corporation,USA,Lawrence Kasdan,Crime,GrandCanyon,134,Lawrence Kasdan,1991
Paramount Pictures,USA,Robert Lieberman,Comedy,AllIWantforChristmas,92,Thom Eberhardt,1991
Golden Harvest Company,Hong Kong,Jackie Chan,Action,ArmourofGod2OperationCondor,106,Jackie Chan,1991
Gladden Entertainment,USA,Stewart Raffill,Comedy,MannequinOntheMove,95,Edward Rugoff,1991
Paramount Pictures,USA,Mark DiSalle,Action,ThePerfectWeapon,90,David C. Wilson,1991
Path� Entertainment,USA,Nicholas Meyer,Action,CompanyBusiness,98,Nicholas Meyer,1991
New Line Cinema,USA,Michael Tolkin,Drama,TheRapture,100,Michael Tolkin,1991
Paramount Pictures,USA,John Milius,Action,FlightoftheIntruder,115,Stephen Coonts,1991
All Girl Productions,USA,Mark Rydell,Comedy,FortheBoys,138,Neal Jimenez,1991
Kings Road Entertainment,USA,Albert Pyun,Action,Kickboxer2TheRoadBack,100,Mark DiSalle,1991
Orion Pictures,USA,Woody Allen,Comedy,ShadowsandFog,85,Woody Allen,1991
Empire Pictures (II),USA,Stuart Gordon,Horror,ThePitandthePendulum,97,Edgar Allan Poe,1991
Hudlin Brothers, The,,USA,George Jackson,Comedy,HouseParty2,100,Reginald Hudlin,1991
Allarts,UK,Peter Greenaway,Drama,ProsperosBooks,124,William Shakespeare,1991
Warner Bros.,USA,Irwin Winkler,Drama,GuiltybySuspicion,105,Irwin Winkler,1991
The Saul Zaentz Company,USA,Hector Babenco,Drama,AtPlayintheFieldsoftheLord,189,Peter Matthiessen,1991
Paramount Pictures,USA,Herbert Ross,Drama,TrueColors,111,Kevin Wade,1991
Hollywood Pictures,USA,Jerry Rees,Comedy,TheMarryingMan,115,Neil Simon,1991
Sean Daniel Company,USA,Nadia Tass,Comedy,PureLuck,96,Francis Veber,1991
Largo Entertainment,USA,Rod Daniel,Comedy,TheSuper,84,Sam Simon,1991
Paramount Pictures,USA,Terry Hughes,Comedy,TheButchersWife,107,Ezra Litwak,1991
Films A2,France,Leos Carax,Drama,TheLoversontheBridge,125,Leos Carax,1991
Paramount Pictures,UK,Franc Roddam,Action,K2,102,Patrick Meyers,1991
Bronze Eye Productions,USA,Todd Haynes,Drama,Poison,85,Jean Genet,1991
Interscope Communications,USA,Michael Apted,Drama,ClassAction,110,Carolyn Shelby,1991
BBC Films,UK,Mike Newell,Drama,EnchantedApril,95,Elizabeth von Arnim,1991
Hollywood Pictures,USA,Geoff Burrowes,Action,Run,91,Dennis Shryack,1991
Robert Simonds Productions,USA,Jeffrey Hornaday,Drama,Shout,89,Joe Gayton,1991
Universal Pictures,UK,James Dearden,Crime,AKissBeforeDying,94,Ira Levin,1991
Warner Bros.,USA,Norman Jewison,Comedy,OtherPeoplesMoney,103,Jerry Sterner,1991
DDM Film Corporation,USA,Frank De Felitta,Horror,Scissors,100,Joyce Selznick,1991
American Playhouse,UK,Julie Dash,Drama,DaughtersoftheDust,100,Julie Dash,1991
Hollywood Pictures,USA,Heywood Gould,Action,OneGoodCop,114,Heywood Gould,1991
Golden Harvest Company,Hong Kong,Michael Mak,Adventure,SexandZen,100,Alexander Lee,1991
C.L.G. Films,UK,James Lapine,Biography,Impromptu,107,Sarah Kernochan,1991
Cannon Pictures,USA,Aaron Norris,Action,TheHitman,95,Robert Geoffrion,1991
Siriol Productions,UK,J�zsef G�mes,Animation,ThePrincessandtheGoblin,100,Robin Lyons,1991
Feature Film Enterprise II,Japan,Akira Kurosawa,Drama,Rapsodiaenagosto,98,Kiyoko Murata,1991
Vision PDG,USA,Zalman King,Drama,WildOrchidIITwoShadesofBlue,111,Zalman King,1991
Cinecom Entertainment Group,USA,Lasse Hallstr�m,Comedy,OnceAround,115,Malia Scotch Marmo,1991
Parallax Pictures,UK,Ken Loach,Comedy,RiffRaff,95,Bill Jesse,1991
MK2 Productions,France,Claude Chabrol,Drama,MadameBovary,143,Gustave Flaubert,1991
House & Moorhouse Films,Australia,Jocelyn Moorhouse,Drama,Proof,86,Jocelyn Moorhouse,1991
Edward R. Pressman Film,USA,David Mamet,Crime,Homicide,102,David Mamet,1991
Island World,USA,Kevin Hooks,Comedy,StrictlyBusiness,100,Pam Gibson,1991
A.M.A. Film,Italy,Gabriele Salvatores,Comedy,Mediterraneo,96,Enzo Monteleone,1991
Cecchi Gori Group Tiger Cinematografica,Italy,Roberto Benigni,Comedy,JohnnyStecchino,102,Roberto Benigni,1991
British Screen Productions,UK,Derek Jarman,Drama,EdwardII,87,Christopher Marlowe,1991
Les Films 21,USA,Sylvio Tabet,Action,Beastmaster2ThroughthePortalofTime,107,Andre Norton,1991
Hollywood Pictures,USA,Jeff Kanew,Action,VIWarshawski,89,Sara Paretsky,1991
Initial Films,USA,John Frankenheimer,Action,YearoftheGun,111,Michael Mewshaw,1991
Action Films,France,Volker Schl�ndorff,Drama,Voyager,117,Max Frisch,1991
Esperanto Filmoj,Mexico,Alfonso Cuar�n,Comedy,Slocontupareja,94,Alfonso Cuar�n,1991
Alliance Entertainment,Canada,Atom Egoyan,Comedy,TheAdjuster,102,Atom Egoyan,1991
Orion Pictures,USA,Jonathan Wacks,Comedy,MysteryDate,97,Parker Bennett,1991
Paramount Pictures,USA,Lewis Gilbert,Comedy,SteppingOut,106,Richard Harris,1991
Marble Hall,USA,James Glickenhaus,Action,McBain,107,James Glickenhaus,1991
Imagine Entertainment,USA,Radha Bharadwaj,Drama,ClosetLand,100,Radha Bharadwaj,1991
TriStar Pictures,USA,Matthew Robbins,Adventure,Bingo,100,Jim Strain,1991
Sovereign Pictures,UK,Charles Sturridge,Drama,WhereAngelsFeartoTread,100,E.M. Forster,1991
Erato Films,France,Maurice Pialat,Biography,VanGogh,158,Maurice Pialat,1991
JVC Entertainment Networks,USA,George Gallo,Comedy,29thStreet,101,Frank Pesce,1991
BC,Germany,Danny Huston,Biography,BecomingColette,100,Ruth Graham,1991
Nelson Entertainment,USA,Sidney J. Furie,Action,TheTakingofBeverlyHills,96,Sidney J. Furie,1991
Iblis Films,Belgium,Jaco Van Dormael,Comedy,TototheHero,91,Didier De Neck,1991
Juno Pix,USA,Joseph B. Vasquez,Comedy,HanginwiththeHomeboys,100,Joseph B. Vasquez,1991
Grand Highway Productions,USA,Mary Agnes Donoghue,Drama,Paradise,111,Mary Agnes Donoghue,1991
American Playhouse,Mexico,Nicol�s Echevarr�a,Adventure,CabezadeVaca,100,Nicol�s Echevarr�a,1991
Numero Uno International,Italy,Andrey Konchalovskiy,Drama,TheInnerCircle,137,Andrey Konchalovskiy,1991
Initial Entertainment Group (IEG),USA,Mike Figgis,Mystery,Liebestraum,112,Mike Figgis,1991
Avenue Pictures,UK,Michael Lindsay-Hogg,Comedy,TheObjectofBeauty,103,Michael Lindsay-Hogg,1991
A&M; Films,USA,Michael Bortman,Drama,CrookedHearts,113,Robert Boswell,1991
Castle Rock Entertainment,USA,W.D. Richter,Drama,LateforDinner,99,Mark Andrus,1991
American Playhouse,USA,Matty Rich,Crime,StraightOutofBrooklyn,100,Matty Rich,1991
Film Par Film,France,G�rard Lauzier,Comedy,MonPereCeHeros,105,G�rard Lauzier,1991
New Line Cinema,USA,Topper Carew,Comedy,TalkinDirtyAfterDark,89,Topper Carew,1991
Pedro Costa Producciones Cinematogr�ficas S.A.,Spain,Vicente Aranda,Crime,LoversATrueStory,103,�lvaro del Amo,1991
Califilm,USA,Rodman Flender,Drama,TheUnborn,100,John Brancato,1991
WMG Pictures,USA,Michael Schultz,Comedy,LivinLarge,100,William Mosley-Payne,1991
Film Par Film,France,Alain Corneau,Biography,Touslesmatinsdumonde,115,Pascal Quignard,1991
American Playhouse,USA,Nancy Kelly,Romance,ThousandPiecesofGold,105,Ruthanne Lum McCunn,1991
Panorama,USA,Tony Cookson,Comedy,AndYouThoughtYourParentsWereWeird,92,Tony Cookson,1991
Carolco Pictures,USA,Steve Rash,Comedy,QueensLogic,100,Tony Spiridakis,1991
Touchstone Pictures,USA,Paul Mazursky,Comedy,ScenesfromaMall,89,Roger L. Simon,1991
Home Grown Inc.,USA,Stuart Rosenberg,Drama,MyHeroesHaveAlwaysBeenCowboys,100,Joel Don Humphreys,1991
Paramount Pictures,USA,Robert M. Young,Drama,TalentfortheGame,91,David Himmelstein,1991
Esperanza Films Inc.,USA,John Sayles,Crime,CityofHope,129,John Sayles,1991
Anglo International Films,UK,Don Boyd,Drama,TwentyOne,92,Zoe Heller,1991
British Screen Productions,Ireland,Peter Chelsom,Comedy,HearMySong,100,Peter Chelsom,1991
Nelson Entertainment,USA,Duncan Gibbins,Action,EveofDestruction,99,Duncan Gibbins,1991
Raffaella Productions,USA,Avi Nesher,Action,Timebomb,96,Avi Nesher,1991
Not specified,USA,Arthur Hiller,Comedy,MarriedtoIt,112,Janet Kovalcik,1991
Carolco Pictures,USA,Martin Campbell,Mystery,Defenseless,104,James Cresson,1991
Channel Four Films,UK,Hanif Kureishi,Comedy,LondonKillsMe,107,Hanif Kureishi,1991
Sandollar Productions,USA,Charles Lane,Comedy,TrueIdentity,93,Andy Breckman,1991
Channel Four Films,UK,Simon Callow,Comedy,TheBalladoftheSadCafe,100,Edward Albee,1991
Cineplex-Odeon Films,Canada,Bruce McDonald,Comedy,Highway61,102,Allan Magee,1991
Alpha Filmes,Brazil,Walter Salles,Drama,TheKnife,104,Rubem Fonseca,1991
British Screen Productions,UK,Peter Richardson,Comedy,ThePopeMustDiet,100,Peter Richardson,1991
Warner Bros.,UK,Istv�n Szab�,Comedy,MeetingVenus,119,Istv�n Szab�,1991
High Horse Films,USA,Martin Davidson,Comedy,HardPromises,95,Jule Selbo,1991
Planet Productions,USA,Stephen La Rocque,Comedy,Samantha,96,John Golden,1991
Live Entertainment,USA,Quentin Tarantino,Crime,ReservoirDogs,99,Quentin Tarantino,1992
American Zoetrope,USA,Francis Ford Coppola,Horror,BramStokersDracula,128,Bram Stoker,1992
Walt Disney Pictures,USA,Ron Clements,Animation,Aladdin,90,Ron Clements,1992
Warner Bros.,USA,Tim Burton,Action,BatmanReturns,126,Bob Kane,1992
Carolco Pictures,France,Paul Verhoeven,Drama,Bajosinstintos,127,Joe Eszterhas,1992
Morgan Creek Productions,USA,Michael Mann,Action,TheLastoftheMohicans,112,James Fenimore Cooper,1992
Warner Bros.,USA,Clint Eastwood,Drama,Unforgiven,131,David Webb Peoples,1992
Palo Vista Productions,USA,Jonathan Lynn,Comedy,MyCousinVinny,120,Dale Launer,1992
Columbia Pictures Corporation,USA,Rob Reiner,Drama,AFewGoodMen,138,Aaron Sorkin,1992
New Line Cinema,USA,David Lynch,Drama,TwinPeaksFireWalkwithMe,135,David Lynch,1992
Twentieth Century Fox Film Corporation,USA,David Fincher,Action,Alien3,114,Dan O'Bannon,1992
Touchstone Pictures,USA,Emile Ardolino,Comedy,SisterAct,100,Paul Rudnick,1992
Columbia Pictures Corporation,USA,Penny Marshall,Comedy,ALeagueofTheirOwn,128,Kim Wilson,1992
Universal Pictures,USA,Robert Zemeckis,Comedy,DeathBecomesHer,104,Martin Donovan,1992
Universal Pictures,USA,Martin Brest,Drama,ScentofaWoman,156,Giovanni Arpino,1992
Touchwood Pacific Partners 1,USA,Kenny Ortega,Drama,Newsies,121,Bob Tzudiker,1992
Kasdan Pictures,USA,Mick Jackson,Action,TheBodyguard,129,Lawrence Kasdan,1992
Paramount Pictures,USA,Penelope Spheeris,Comedy,WaynesWorld,94,Mike Myers,1992
Dino De Laurentiis Company,USA,Sam Raimi,Comedy,ArmyofDarkness,81,Sam Raimi,1992
Twentieth Century Fox Film Corporation,USA,Chris Columbus,Adventure,HomeAlone2LostinNewYork,120,John Hughes,1992
Warner Bros.,France,Andrew Davis,Action,UnderSiege,103,J.F. Lawton,1992
GGR,USA,James Foley,Crime,GlengarryGlenRoss,100,David Mamet,1992
WingNut Films,New Zealand,Peter Jackson,Comedy,DeadAlive,104,Stephen Sinclair,1992
PolyGram Filmed Entertainment,USA,Bernard Rose,Horror,Candyman,99,Clive Barker,1992
Mace Neufeld Productions,USA,Phillip Noyce,Action,PatriotGames,117,Tom Clancy,1992
Paramount Pictures,USA,Robert Mandel,Drama,SchoolTies,106,Dick Wolf,1992
Metro-Goldwyn-Mayer (MGM),USA,Gary Sinise,Drama,OfMiceandMen,115,John Steinbeck,1992
Touchstone Pictures,USA,Thom Eberhardt,Adventure,CaptainRon,90,John Dwyer,1992
Allied Filmmakers,USA,Robert Redford,Drama,ARiverRunsThroughIt,123,Norman Maclean,1992
Carolco Pictures,UK,Richard Attenborough,Biography,Chaplin,143,David Robinson,1992
Largo International N.V.,USA,Spike Lee,Biography,MalcolmX,202,Alex Haley,1992
Columbia Pictures Corporation,USA,Mick Garris,Horror,Sleepwalkers,91,Stephen King,1992
FAI Films,Australia,Bill Kroyer,Animation,FernGullyLasaventurasdeZakyCrysta,76,Jim Cox,1992
Universal Pictures,USA,Brian Levant,Comedy,Beethoven,87,John Hughes,1992
Fifth Avenue Entertainment,USA,Anthony Hickox,Horror,HellraiserIIIHellonEarth,91,Clive Barker,1992
Palace Pictures,UK,Neil Jordan,Crime,TheCryingGame,112,Neil Jordan,1992
Twentieth Century Fox Film Corporation,USA,Fran Rubel Kuzui,Action,BuffytheVampireSlayer,86,Joss Whedon,1992
Paramount Pictures,USA,Mary Lambert,Fantasy,PetSemataryII,100,Richard Outten,1992
Warner Bros.,USA,Cameron Crowe,Comedy,Singles,99,Cameron Crowe,1992
StudioCanal,USA,Roland Emmerich,Action,UniversalSoldier,102,Richard Rothstein,1992
Twentieth Century Fox Film Corporation,USA,Ron Shelton,Comedy,WhiteMenCantJump,115,Ron Shelton,1992
Lolafilms,Spain,Bigas Luna,Comedy,JamnJamn,,95,Cuca Canals,1992
Encino Man Productions,USA,Les Mayfield,Comedy,EncinoMan,88,George Zaloom,1992
Island World,USA,Ernest R. Dickerson,Action,Juice,95,Ernest R. Dickerson,1992
Films A2,France,Jean-Jacques Annaud,Biography,TheLover,115,Marguerite Duras,1992
Imagine Films Entertainment,USA,Ron Howard,Adventure,FarandAway,140,Bob Dolman,1992
Warner Bros.,USA,Richard Donner,Action,LethalWeapon3,118,Jeffrey Boam,1992
Canal+,France,Roman Polanski,Drama,Lunaamarga,139,Pascal Bruckner,1992
Allied Vision,UK,Brett Leonard,Horror,TheLawnmowerMan,108,Stephen King,1992
New Line Cinema,USA,Katt Shea,Drama,PoisonIvy,88,Melissa Goddard,1992
Hollywood Pictures,USA,Curtis Hanson,Drama,TheHandThatRockstheCradle,110,Amanda Silver,1992
Ladybugs,USA,Sidney J. Furie,Comedy,Ladybugs,90,Curtis Burch,1992
Columbia Pictures Corporation,USA,Barbet Schroeder,Drama,SingleWhiteFemale,107,John Lutz,1992
Bad Lt. Productions,USA,Abel Ferrara,Crime,BadLieutenant,96,Zo� Lund,1992
Touchstone Pictures,USA,Jon Turteltaub,Action,3Ninjas,84,Kenny Kim,1992
Universal Pictures,USA,Phil Alden Robinson,Comedy,Sneakers,126,Phil Alden Robinson,1992
Paramount Pictures,USA,Reginald Hudlin,Comedy,Boomerang,117,Eddie Murphy,1992
Avenue Pictures,USA,Robert Altman,Comedy,ThePlayer,124,Michael Tolkin,1992
Baltimore Pictures,USA,Barry Levinson,Adventure,Toys,118,Valerie Curtin,1992
Gaumont,France,Ridley Scott,Adventure,1492ConquistadelParaso,154,Rose Bosch,1992
Les Artistes Anonymes,Belgium,R�my Belvaux,Comedy,ManBitesDog,95,R�my Belvaux,1992
Twentieth Century Fox Film Corporation,USA,Danny DeVito,Biography,Hoffa,140,David Mamet,1992
Warner Bros.,USA,Kevin Hooks,Action,Passenger57,84,Stewart Raffill,1992
Merchant Ivory Productions,UK,James Ivory,Drama,HowardsEnd,140,E.M. Forster,1992
Arau Films Internacional,Mexico,Alfonso Arau,Drama,Comoaguaparachocolate,105,Laura Esquivel,1992
Australian Film Commission, The,,Australia,Geoffrey Wright,Crime,RomperStomper,94,Geoffrey Wright,1992
Nouvelles �ditions de Films (NEF),UK,Louis Malle,Drama,Damage,111,David Hare,1992
Columbia Pictures Corporation,USA,Robert Rodriguez,Action,ElMariachi,81,Robert Rodriguez,1992
M & A,Australia,Baz Luhrmann,Comedy,StrictlyBallroom,94,Baz Luhrmann,1992
Warner Bros.,USA,John Landis,Action,InnocentBlood,112,Michael Wolk,1992
Olmos Productions,USA,Edward James Olmos,Biography,AmericanMe,125,Floyd Mutrux,1992
Paramount Pictures,USA,Ralph Bakshi,Animation,CoolWorld,102,Michael Grais,1992
Touchwood Pacific Partners 1,USA,Randal Kleiser,Adventure,HoneyIBlewUptheKid,89,Stuart Gordon,1992
Adventure Pictures,UK,Sally Potter,Biography,Orlando,94,Sally Potter,1992
Warner Bros.,USA,Steve Miner,Drama,ForeverYoung,102,J.J. Abrams,1992
Metro-Goldwyn-Mayer (MGM),USA,Paul Michael Glaser,Drama,TheCuttingEdge,101,Tony Gilroy,1992
Columbia Pictures Corporation,USA,Richard Donner,Drama,RadioFlyer,114,David Mickey Evans,1992
Davis Entertainment,Australia,Stuart Gordon,Action,Fortress,95,Troy Neighbors,1992
Cinema Plus,USA,Greg Beeman,Adventure,MomandDadSavetheWorld,88,Chris Matheson,1992
Warner Bros.,USA,Christopher Cain,Drama,PureCountry,112,Rex McGee,1992
Pacific Western,USA,Brian De Palma,Crime,RaisingCain,91,Brian De Palma,1992
Turner Pictures (I),USA,Phil Roman,Animation,TheTomandJerryMovie,84,Dennis Marks,1992
Gallery Films,USA,Aaron Norris,Action,Sidekicks,101,Lou Illar,1992
Hollywood Pictures,USA,Sidney Lumet,Crime,AStrangerAmongUs,110,Robert J. Avrech,1992
Alcor Films,Australia,John G. Avildsen,Drama,ThePowerofOne,127,Bryce Courtenay,1992
Largo Entertainment,Japan,Jonathan Kaplan,Crime,UnlawfulEntry,117,George Putnam,1992
Hollywood Pictures,USA,John McTiernan,Adventure,MedicineMan,106,Tom Schulman,1992
Morgan Creek Productions,USA,Peter Hyams,Adventure,StayTuned,88,Tom S. Parker,1992
Universal Pictures,USA,George Miller,Drama,LorenzosOil,129,George Miller,1992
Challenge Film Corporation,UK,Tony Maylam,Action,SplitSecond,90,Gary Scott Thompson,1992
Hollywood Pictures,USA,Alan J. Pakula,Crime,ConsentingAdults,99,Matthew Chapman,1992
Twentieth Century Fox Film Corporation,USA,Dwight H. Little,Action,RapidFire,95,Cindy Cirile,1992
Touchstone Pictures,USA,Peter Bogdanovich,Comedy,NoisesOff,101,Michael Frayn,1992
Columbia Pictures Corporation,USA,Stephen Frears,Comedy,Hero,119,Laura Ziskin,1992
Allied Filmmakers,France,Roland Joff�,Drama,CityofJoy,132,Dominique Lapierre,1992
Golden Harvest Company,Hong Kong,Stanley Tong,Action,Supercop,95,Edward Tang,1992
TriStar Pictures,USA,Michael Apted,Crime,Thunderheart,119,John Fusco,1992
Castle Rock Entertainment,USA,Andrew Bergman,Comedy,HoneymooninVegas,96,Andrew Bergman,1992
Walt Disney Pictures,USA,Brian Henson,Comedy,TheMuppetChristmasCarol,85,Charles Dickens,1992
Corn Cobb Productions,USA,David Price,Horror,ChildrenoftheCornIITheFinalSacrifice,92,Stephen King,1992
Northern Lights Entertainment,USA,Roger Spottiswoode,Action,StopOrMyMomWillShoot,87,Blake Snyder,1992
British Broadcasting Corporation (BBC),UK,Kenneth Branagh,Comedy,PetersFriends,101,Rita Rudner,1992
Universal Pictures,USA,Arthur Hiller,Biography,TheBabe,100,John Fusco,1992
Penta Pictures,USA,Dale Launer,Comedy,LovePotionNo9,92,Dale Launer,1992
Universal Pictures,USA,Walter Hill,Action,Trespass,101,Bob Gale,1992
TriStar Pictures,USA,Woody Allen,Comedy,HusbandsandWives,103,Woody Allen,1992
IRS Media,USA,Carl Franklin,Crime,OneFalseMove,105,Billy Bob Thornton,1992
Paramount Pictures,USA,Bruce Robinson,Crime,Jennifer8,124,Bruce Robinson,1992
Columbia Pictures Corporation,USA,Rowdy Herrington,Action,Gladiator,101,Djordje Milicevic,1992
Warner Bros.,USA,John Carpenter,Comedy,MemoirsofanInvisibleMan,99,H.F. Saint,1992
Columbia Pictures Corporation,USA,Peter MacDonald,Action,MoMoney,89,Damon Wayans,1992
Dark Horse Entertainment,USA,Manny Coto,Comedy,DrGiggles,95,Manny Coto,1992
Imagine Entertainment,USA,Frank Oz,Comedy,HouseSitter,102,Mark Stein,1992
Warner Bros.,USA,Randall Miller,Comedy,ClassAct,98,Michael Swerdlick,1992
Dino de Laurentiis Communications,USA,Bruce A. Evans,Action,Kuffs,102,Bruce A. Evans,1992
Enchantment Films Inc.,USA,Stephen Milburn Anderson,Crime,SouthCentral,99,Stephen Milburn Anderson,1992
Warner Bros.,USA,Phil Joanou,Drama,FinalAnalysis,124,Robert Berger,1992
Alcor Films,France,Arne Glimcher,Drama,TheMamboKings,104,Oscar Hijuelos,1992
Paradis Films,France,R�gis Wargnier,Drama,Indochine,148,Erik Orsenna,1992
Morgan Creek Productions,USA,Geoff Murphy,Action,Freejack,110,Robert Sheckley,1992
Twentieth Century Fox Film Corporation,USA,David Seltzer,Drama,ShiningThrough,132,Susan Isaacs,1992
Image Organization,USA,Bill Duke,Action,DeepCover,107,Michael Tolkin,1992
